date,year,month,day,weekday,hour,demand,temperature
11/28/2004,2004,11,28,1,20,15919,53
11/28/2004,2004,11,28,1,21,15250,52
11/28/2004,2004,11,28,1,22,14081,49
11/28/2004,2004,11,28,1,23,12767,48
11/28/2004,2004,11,28,1,24,11592,46
11/29/2004,2004,11,29,2,1,10742,44
11/29/2004,2004,11,29,2,2,10355,43
11/29/2004,2004,11,29,2,3,10212,43
11/29/2004,2004,11,29,2,4,10270,42
11/29/2004,2004,11,29,2,5,10644,41
11/29/2004,2004,11,29,2,6,11893,40
11/29/2004,2004,11,29,2,7,14258,39
11/29/2004,2004,11,29,2,8,15573,39
11/29/2004,2004,11,29,2,9,15914,40
11/29/2004,2004,11,29,2,10,16042,42
11/29/2004,2004,11,29,2,11,16108,43
11/29/2004,2004,11,29,2,12,16057,44
11/29/2004,2004,11,29,2,13,15876,46
11/29/2004,2004,11,29,2,14,15775,48
11/29/2004,2004,11,29,2,15,15601,48
11/29/2004,2004,11,29,2,16,15785,47
11/29/2004,2004,11,29,2,17,17215,45
11/29/2004,2004,11,29,2,18,18558,42
11/29/2004,2004,11,29,2,19,18512,39
11/29/2004,2004,11,29,2,20,18083,38
11/29/2004,2004,11,29,2,21,17352,37
11/29/2004,2004,11,29,2,22,16113,36
11/29/2004,2004,11,29,2,23,14414,36
11/29/2004,2004,11,29,2,24,12857,35
11/30/2004,2004,11,30,3,1,11870,34
11/30/2004,2004,11,30,3,2,11318,35
11/30/2004,2004,11,30,3,3,11125,35
11/30/2004,2004,11,30,3,4,11103,34
11/30/2004,2004,11,30,3,5,11421,34
11/30/2004,2004,11,30,3,6,12634,34
11/30/2004,2004,11,30,3,7,14968,34
11/30/2004,2004,11,30,3,8,16244,34
11/30/2004,2004,11,30,3,9,16524,35
11/30/2004,2004,11,30,3,10,16539,37
11/30/2004,2004,11,30,3,11,16425,39
11/30/2004,2004,11,30,3,12,16311,40
11/30/2004,2004,11,30,3,13,16029,42
11/30/2004,2004,11,30,3,14,15885,43
11/30/2004,2004,11,30,3,15,15732,44
11/30/2004,2004,11,30,3,16,15987,44
11/30/2004,2004,11,30,3,17,17455,43
11/30/2004,2004,11,30,3,18,18563,42
11/30/2004,2004,11,30,3,19,18426,41
11/30/2004,2004,11,30,3,20,17994,40
11/30/2004,2004,11,30,3,21,17228,39
11/30/2004,2004,11,30,3,22,15987,38
11/30/2004,2004,11,30,3,23,14260,39
11/30/2004,2004,11,30,3,24,12688,40
12/1/2004,2004,12,1,4,1,11611,40
12/1/2004,2004,12,1,4,2,11068,40
12/1/2004,2004,12,1,4,3,10811,41
12/1/2004,2004,12,1,4,4,10733,42
12/1/2004,2004,12,1,4,5,11017,43
12/1/2004,2004,12,1,4,6,12171,43
12/1/2004,2004,12,1,4,7,14511,42
12/1/2004,2004,12,1,4,8,16117,45
12/1/2004,2004,12,1,4,9,16539,47
12/1/2004,2004,12,1,4,10,16753,49
12/1/2004,2004,12,1,4,11,16981,51
12/1/2004,2004,12,1,4,12,17000,53
12/1/2004,2004,12,1,4,13,16878,53
12/1/2004,2004,12,1,4,14,16717,54
12/1/2004,2004,12,1,4,15,16454,52
12/1/2004,2004,12,1,4,16,16412,51
12/1/2004,2004,12,1,4,17,17516,50
12/1/2004,2004,12,1,4,18,18536,49
12/1/2004,2004,12,1,4,19,18329,48
12/1/2004,2004,12,1,4,20,17836,46
12/1/2004,2004,12,1,4,21,17130,45
12/1/2004,2004,12,1,4,22,15954,44
12/1/2004,2004,12,1,4,23,14309,43
12/1/2004,2004,12,1,4,24,12745,43
12/2/2004,2004,12,2,5,1,11715,41
12/2/2004,2004,12,2,5,2,11219,41
12/2/2004,2004,12,2,5,3,11015,41
12/2/2004,2004,12,2,5,4,10994,40
12/2/2004,2004,12,2,5,5,11320,39
12/2/2004,2004,12,2,5,6,12544,39
12/2/2004,2004,12,2,5,7,14876,38
12/2/2004,2004,12,2,5,8,16099,37
12/2/2004,2004,12,2,5,9,16325,38
12/2/2004,2004,12,2,5,10,16349,41
12/2/2004,2004,12,2,5,11,16350,42
12/2/2004,2004,12,2,5,12,16263,44
12/2/2004,2004,12,2,5,13,16118,44
12/2/2004,2004,12,2,5,14,16090,44
12/2/2004,2004,12,2,5,15,15980,45
12/2/2004,2004,12,2,5,16,16155,44
12/2/2004,2004,12,2,5,17,17507,42
12/2/2004,2004,12,2,5,18,18712,40
12/2/2004,2004,12,2,5,19,18640,38
12/2/2004,2004,12,2,5,20,18257,38
12/2/2004,2004,12,2,5,21,17595,36
12/2/2004,2004,12,2,5,22,16440,35
12/2/2004,2004,12,2,5,23,14800,34
12/2/2004,2004,12,2,5,24,13179,34
12/3/2004,2004,12,3,6,1,12146,33
12/3/2004,2004,12,3,6,2,11628,32
12/3/2004,2004,12,3,6,3,11413,31
12/3/2004,2004,12,3,6,4,11411,30
12/3/2004,2004,12,3,6,5,11747,31
12/3/2004,2004,12,3,6,6,12926,31
12/3/2004,2004,12,3,6,7,15268,30
12/3/2004,2004,12,3,6,8,16605,31
