date,year,month,day,weekday,hour,demand
1/17/2018,2018,1,17,4,12,6100
1/17/2018,2018,1,17,4,13,6163
1/17/2018,2018,1,17,4,14,5950
1/17/2018,2018,1,17,4,15,6035
1/17/2018,2018,1,17,4,16,5917
1/17/2018,2018,1,17,4,17,6108
1/17/2018,2018,1,17,4,18,7532
1/17/2018,2018,1,17,4,19,7717
1/17/2018,2018,1,17,4,20,7902
1/17/2018,2018,1,17,4,21,7674
1/17/2018,2018,1,17,4,22,6985
1/17/2018,2018,1,17,4,23,6521
1/18/2018,2018,1,18,5,0,5915
1/18/2018,2018,1,18,5,1,5412
1/18/2018,2018,1,18,5,2,5118
1/18/2018,2018,1,18,5,3,4924
1/18/2018,2018,1,18,5,4,4817
1/18/2018,2018,1,18,5,5,4698
1/18/2018,2018,1,18,5,6,4977
1/18/2018,2018,1,18,5,7,5445
1/18/2018,2018,1,18,5,8,6043
1/18/2018,2018,1,18,5,9,6325
1/18/2018,2018,1,18,5,10,6253
1/18/2018,2018,1,18,5,11,6181
1/18/2018,2018,1,18,5,12,6212
1/18/2018,2018,1,18,5,13,6232
1/18/2018,2018,1,18,5,14,6038
1/18/2018,2018,1,18,5,15,6103
1/18/2018,2018,1,18,5,16,6125
1/18/2018,2018,1,18,5,17,6216
1/18/2018,2018,1,18,5,18,7322
1/18/2018,2018,1,18,5,19,7552
1/18/2018,2018,1,18,5,20,7782
1/18/2018,2018,1,18,5,21,7613
1/18/2018,2018,1,18,5,22,7071
1/18/2018,2018,1,18,5,23,6387
1/19/2018,2018,1,19,6,0,5948
1/19/2018,2018,1,19,6,1,5440
1/19/2018,2018,1,19,6,2,5230
1/19/2018,2018,1,19,6,3,4945
1/19/2018,2018,1,19,6,4,4686
1/19/2018,2018,1,19,6,5,4803
1/19/2018,2018,1,19,6,6,4907
1/19/2018,2018,1,19,6,7,5070
1/19/2018,2018,1,19,6,8,5368
1/19/2018,2018,1,19,6,9,5271
1/19/2018,2018,1,19,6,10,5180
1/19/2018,2018,1,19,6,11,5145
1/19/2018,2018,1,19,6,12,5140
1/19/2018,2018,1,19,6,13,5329
1/19/2018,2018,1,19,6,14,4776
1/19/2018,2018,1,19,6,15,4784
1/19/2018,2018,1,19,6,16,4933
1/19/2018,2018,1,19,6,17,5114
1/19/2018,2018,1,19,6,18,6450
1/19/2018,2018,1,19,6,19,6798
1/19/2018,2018,1,19,6,20,7146
1/19/2018,2018,1,19,6,21,7110
1/19/2018,2018,1,19,6,22,6519
1/19/2018,2018,1,19,6,23,5967
1/20/2018,2018,1,20,7,0,5487
1/20/2018,2018,1,20,7,1,4947
1/20/2018,2018,1,20,7,2,4810
1/20/2018,2018,1,20,7,3,4674
1/20/2018,2018,1,20,7,4,4513
1/20/2018,2018,1,20,7,5,4479
1/20/2018,2018,1,20,7,6,4702
1/20/2018,2018,1,20,7,7,4884
1/20/2018,2018,1,20,7,8,5573
1/20/2018,2018,1,20,7,9,5776
1/20/2018,2018,1,20,7,10,5534
1/20/2018,2018,1,20,7,11,5475
1/20/2018,2018,1,20,7,12,5590
1/20/2018,2018,1,20,7,13,5651
1/20/2018,2018,1,20,7,14,5475
1/20/2018,2018,1,20,7,15,5503
1/20/2018,2018,1,20,7,16,5523
